time_iso,time_unix,electric_powerDemand,gnss_altitude,gnss_course,gnss_latitude,gnss_longitude,itcs_busRoute,itcs_numberOfPassengers,itcs_stopName,odometry_articulationAngle,odometry_steeringAngle,odometry_vehicleSpeed,odometry_wheelSpeed_fl,odometry_wheelSpeed_fr,odometry_wheelSpeed_ml,odometry_wheelSpeed_mr,odometry_wheelSpeed_rl,odometry_wheelSpeed_rr,status_doorIsOpen,status_gridIsAvailable,status_haltBrakeIsActive,status_parkBrakeIsActive,temperature_ambient,traction_brakePressure,traction_tractionForce
"2021-10-05T13:53:20Z",1633442000,2869.4,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,261980.2,0
"2021-10-05T13:53:21Z",1633442001,2810.608,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
"2021-10-05T13:53:22Z",1633442002,2913.656,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262183.3,0
"2021-10-05T13:53:23Z",1633442003,3105.099,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
"2021-10-05T13:53:24Z",1633442004,3294.145,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
"2021-10-05T13:53:25Z",1633442005,2738.144,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
"2021-10-05T13:53:26Z",1633442006,3176.128,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
"2021-10-05T13:53:27Z",1633442007,3246.37,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,293.832,262500,0
"2021-10-05T13:53:28Z",1633442008,2613.354,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,293.468,262500,0
"2021-10-05T13:53:29Z",1633442009,2841.762,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,261355.2,0
"2021-10-05T13:53:30Z",1633442010,3066.633,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,261983.3,0
"2021-10-05T13:53:31Z",1633442011,2611.756,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262191.7,0
"2021-10-05T13:53:32Z",1633442012,2759.193,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.04363333,-0,0,0,0,0,0,0,0,0,1,1,1,294.15,262500,0
